time_s,coolant_C,intake_C,rpm,load_raw,throttle_raw,dpf_soot_pct,dpf_dp_raw,dist_regen_km,p16_b0,p16_b1,p19_b0,p24_b0,p24_b1,p51_b0
1777522947770,-23,-36,5,33,0,6,1024,5010,96,153,16,9,7,24
1777522948575,-23,-36,5,33,0,6,1024,5010,96,153,16,9,7,24
1777522949028,-23,-36,5,33,0,6,1024,5010,96,153,16,9,7,24
1777522949525,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522950005,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522950522,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522951088,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522951554,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522952066,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522952588,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522953195,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522954249,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522954762,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522955259,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522955799,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522956279,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522956769,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522957511,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522958278,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522958775,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522959283,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522959775,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522960238,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522960748,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522961216,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522961712,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522962190,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522962708,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522963239,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522963722,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522964206,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522964695,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522965192,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522965662,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522966185,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522966662,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522967142,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522967633,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522968105,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522968638,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522969115,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522969643,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522970118,-23,-36,5,33,0,6,1024,5010,96,153,16,9,7,24
1777522970622,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522971142,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522971645,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522972143,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522972648,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522973133,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522973656,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522974129,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522974645,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522975146,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522975672,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522976205,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522976673,-23,-36,5,33,0,6,1024,5010,96,153,16,9,7,24
1777522977220,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522977718,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522978229,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
1777522978765,-23,-36,5,33,0,6,1024,5010,96,153,16,9,8,24
